case,baseline_us,comparison_us
1,4.32,2.09
2,5.57,2.36
3,5.64,2.64
4,10.26,7.83
5,16.32,6.64
6,15.16,11.34
7,18.43,16.52
8,37.96,31.42
9,94.83,71.88
10,65.04,48.45
11,166.27,133.01
12,113.78,78.90
13,571.12,418.03
14,4050,3830
15,9420,8530
