case,baseline_us,comparison_us
1,3.28,2.09
2,5.64,2.36
3,5.57,2.64
4,11.32,7.83
5,17.10,6.64
6,15.31,11.34
7,18.82,16.52
8,42.17,31.42
9,72.10,71.88
10,70.88,48.45
11,163.40,133.01
12,94.75,78.90
13,563.58,418.03
14,4060,3830
15,9410,8530
