case,baseline_us,comparison_us
1,6.24,2.09
2,9.74,2.36
3,5.38,2.64
4,83.68,7.83
5,16.55,6.64
6,109.81,11.34
7,223.15,16.52
8,37.55,31.42
9,94.46,71.88
10,64.87,48.45
11,192.34,133.01
12,113.07,78.90
13,609.41,418.03
14,4050,3830
15,9410,8530
