case,baseline_us,comparison_us
1,3.35,2.09
2,5.60,2.36
3,5.76,2.64
4,10.41,7.83
5,16.06,6.64
6,15.46,11.34
7,18.68,16.52
8,42.90,31.42
9,73.04,71.88
10,71.16,48.45
11,162.51,133.01
12,93.91,78.90
13,561.90,418.03
14,4060,3830
15,9410,8530
