case,baseline_us,comparison_us
1,4.99,2.09
2,9.41,2.36
3,8.00,2.64
4,83.42,7.83
5,16.27,6.64
6,109.80,11.34
7,222.82,16.52
8,379.89,31.42
9,185.98,71.88
10,304.43,48.45
11,194.31,133.01
12,150.28,78.90
13,617.22,418.03
14,118000,3830
15,10700,8530
